 cookie=0x0, duration=17.906s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=1106 actions=output:2
 cookie=0x0, duration=17.938s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=9999 actions=output:2
 cookie=0x0, duration=17.938s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=687 actions=output:2
 cookie=0x0, duration=17.938s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=5850 actions=output:2
 cookie=0x0, duration=17.938s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=7937 actions=output:2
 cookie=0x0, duration=17.938s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=4444 actions=output:2
 cookie=0x0, duration=17.939s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=3323 actions=output:2
 cookie=0x0, duration=17.939s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=3827 actions=output:2
 cookie=0x0, duration=17.939s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=17 actions=output:2
 cookie=0x0, duration=17.985s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=2608 actions=output:2
 cookie=0x0, duration=17.985s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=2701 actions=output:2
 cookie=0x0, duration=17.985s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=1090 actions=output:2
 cookie=0x0, duration=17.985s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=1030 actions=output:2
